TeamBlueTopGoldEarned,TeamBlueTopChampionName,TeamBlueTopDamageDealt,TeamBlueTopWinRate,TeamBlueTopWins,TeamBlueTopLosses,TeamBlueTopLeaguePoints,TeamRedTopGoldEarned,TeamRedTopChampionName,TeamRedTopDamageDealt,TeamRedTopWinRate,TeamRedTopWins,TeamRedTopLosses,TeamRedTopLeaguePoints,TeamBlueJungleGoldEarned,TeamBlueJungleChampionName,TeamBlueJungleDamageDealt,TeamBlueJungleWinRate,TeamBlueJungleWins,TeamBlueJungleLosses,TeamBlueJungleLeaguePoints,TeamRedJungleGoldEarned,TeamRedJungleChampionName,TeamRedJungleDamageDealt,TeamRedJungleWinRate,TeamRedJungleWins,TeamRedJungleLosses,TeamRedJungleLeaguePoints,TeamBlueMidGoldEarned,TeamBlueMidChampionName,TeamBlueMidDamageDealt,TeamBlueMidWinRate,TeamBlueMidWins,TeamBlueMidLosses,TeamBlueMidLeaguePoints,TeamRedMidGoldEarned,TeamRedMidChampionName,TeamRedMidDamageDealt,TeamRedMidWinRate,TeamRedMidWins,TeamRedMidLosses,TeamRedMidLeaguePoints,TeamBlueADCGoldEarned,TeamBlueADCChampionName,TeamBlueADCDamageDealt,TeamBlueADCWinRate,TeamBlueADCWins,TeamBlueADCLosses,TeamBlueADCLeaguePoints,TeamRedADCGoldEarned,TeamRedADCChampionName,TeamRedADCDamageDealt,TeamRedADCWinRate,TeamRedADCWins,TeamRedADCLosses,TeamRedADCLeaguePoints,TeamBlueSupportGoldEarned,TeamBlueSupportChampionName,TeamBlueSupportDamageDealt,TeamBlueSupportWinRate,TeamBlueSupportWins,TeamBlueSupportLosses,TeamBlueSupportLeaguePoints,TeamRedSupportGoldEarned,TeamRedSupportChampionName,TeamRedSupportDamageDealt,TeamRedSupportWinRate,TeamRedSupportWins,TeamRedSupportLosses,TeamRedSupportLeaguePoints,win
11338,48,25016,0.5,100,100,1000,14247,52,21929,0.62,131,80,1198,14071,63,16544,0.5,100,100,1000,16673,67,27956,0.53,457,399,1561,12935,96,21988,0.5,100,100,1000,16046,123,36324,0.5,100,100,1000,16546,118,33351,0.54,256,217,1026,14885,138,25444,0.52,456,414,1107,8892,13,12393,0.5,100,100,1000,10368,95,10980,0.5,100,100,1000,0
9238,103,7995,0.5,100,100,1000,12432,23,24819,0.5,100,100,1000,10458,109,17059,0.55,187,153,1090,12880,41,19677,0.5,100,100,1000,9017,123,16991,0.5,100,100,1000,13707,91,28045,0.5,100,100,1000,11339,51,24643,0.5,100,100,1000,14778,159,37711,0.5,100,100,1000,8231,95,10342,0.59,111,78,1098,8445,125,11817,0.5,100,100,1000,0
14258,52,25066,0.5,100,100,1000,15322,153,28924,0.5,100,100,1000,15527,38,34628,0.5,100,100,1000,14342,67,16099,0.5,100,100,1000,23361,158,44061,0.5,100,100,1000,20903,8,51408,0.53,331,291,1053,18576,51,31798,0.5,100,100,1000,18677,138,41460,0.6,119,80,1010,12159,102,11962,0.5,100,100,1000,11326,126,24215,0.5,100,100,1000,1
16214,105,26506,0.56,211,167,1234,10956,90,22128,0.5,100,100,1000,13415,117,22375,0.57,168,126,1061,12993,14,25173,0.5,100,100,1000,11490,57,20258,0.5,100,100,1000,9695,123,21509,0.5,100,100,1000,9059,10,14212,0.5,100,100,1000,13650,138,26207,0.5,100,100,1000,6976,121,5649,0.5,100,100,1000,7911,98,6479,0.56,185,148,1161,1
13794,44,23486,0.52,328,297,1083,15267,103,18407,0.53,251,221,953,19007,104,45009,0.53,434,379,1542,18491,14,28178,0.54,270,234,1229,14274,91,27348,0.57,277,209,1373,13224,7,22795,0.63,107,62,1136,15374,140,31589,0.5,100,100,1000,17513,9,47728,0.53,222,197,1107,11742,110,25908,0.5,100,100,1000,9025,130,8917,0.54,333,280,1367,0
10191,104,19248,0.53,434,379,1542,12935,94,33601,0.53,269,235,1091,13130,123,19403,0.56,175,137,1330,19084,39,30953,0.5,100,100,1000,13700,124,25568,0.54,372,317,1471,12736,96,20405,0.5,100,100,1000,14170,51,26855,0.54,256,217,1026,12555,138,23961,0.5,100,100,1000,10038,8,15727,0.62,124,75,1388,9099,7,15848,0.63,107,62,1136,0
17626,40,34301,0.5,100,100,1000,11387,61,29128,0.5,100,100,1000,13834,88,18499,0.5,100,100,1000,12073,104,19604,0.5,100,100,1000,12566,140,32492,0.5,100,100,1000,9472,141,21087,0.5,100,100,1000,13863,139,20595,0.5,100,100,1000,18678,18,46380,0.5,100,100,1000,9739,156,13501,0.5,100,100,1000,11078,78,5367,0.56,260,204,1534,1
12977,76,24201,0.5,100,100,1000,17549,37,31178,0.5,100,100,1000,15539,144,25853,0.5,100,100,1000,16447,143,19990,0.5,100,100,1000,11922,34,15703,0.53,366,326,1033,13110,162,29983,0.54,285,240,1355,21864,118,43463,0.5,100,100,1000,14508,138,20991,0.5,100,100,1000,9612,55,17088,0.54,261,221,1017,11470,110,19350,0.5,100,100,1000,1
11466,48,23652,0.5,100,100,1000,11057,74,19838,0.5,100,100,1000,13690,149,21260,0.5,100,100,1000,12857,143,17239,0.5,100,100,1000,15978,70,30123,0.53,368,327,1068,12658,123,26186,0.52,456,414,1107,16340,51,31451,0.56,233,186,1219,12112,159,22212,0.54,256,217,1026,10616,151,17503,0.5,100,100,1000,8237,15,8839,0.5,100,100,1000,1
5037,106,7711,0.62,117,72,1006,6105,48,7445,0.66,134,70,1437,7072,63,7260,0.5,100,100,1000,5484,67,3880,0.55,247,202,1313,6136,66,12825,0.54,372,317,1471,5476,123,7587,0.5,100,100,1000,9965,138,10171,0.6,84,57,1192,4026,51,1643,0.5,100,100,1000,5586,15,4657,0.54,333,280,1367,3522,72,3230,0.5,100,100,1000,1
