TeamBlueTopChampionName,TeamBlueTopWinRate,TeamBlueTopWins,TeamBlueTopLosses,TeamBlueTopLeaguePoints,TeamRedTopChampionName,TeamRedTopWinRate,TeamRedTopWins,TeamRedTopLosses,TeamRedTopLeaguePoints,TeamBlueJungleChampionName,TeamBlueJungleWinRate,TeamBlueJungleWins,TeamBlueJungleLosses,TeamBlueJungleLeaguePoints,TeamRedJungleChampionName,TeamRedJungleWinRate,TeamRedJungleWins,TeamRedJungleLosses,TeamRedJungleLeaguePoints,TeamBlueMidChampionName,TeamBlueMidWinRate,TeamBlueMidWins,TeamBlueMidLosses,TeamBlueMidLeaguePoints,TeamRedMidChampionName,TeamRedMidWinRate,TeamRedMidWins,TeamRedMidLosses,TeamRedMidLeaguePoints,TeamBlueADCChampionName,TeamBlueADCWinRate,TeamBlueADCWins,TeamBlueADCLosses,TeamBlueADCLeaguePoints,TeamRedADCChampionName,TeamRedADCWinRate,TeamRedADCWins,TeamRedADCLosses,TeamRedADCLeaguePoints,TeamBlueSupportChampionName,TeamBlueSupportWinRate,TeamBlueSupportWins,TeamBlueSupportLosses,TeamBlueSupportLeaguePoints,TeamRedSupportChampionName,TeamRedSupportWinRate,TeamRedSupportWins,TeamRedSupportLosses,TeamRedSupportLeaguePoints
61,0.6,133,90,1197,60,0.5,100,100,1000,67,0.5,100,100,1000,38,0.5,100,100,1000,70,0.5,100,100,1000,96,0.5,100,100,1000,26,0.5,100,100,1000,150,0.5,100,100,1000,112,0.5,100,100,1000,98,0.54,259,222,1234
90,0.5,100,100,1000,43,0.58,205,149,1335,31,0.5,100,100,1000,47,0.5,100,100,1000,44,0.5,100,100,1000,140,0.5,100,100,1000,159,0.5,100,100,1000,9,0.53,251,221,953,15,0.54,284,240,1275,72,0.55,282,228,1597
49,0.53,342,308,1116,106,0.6,101,66,1076,47,0.5,100,100,1000,144,0.5,100,100,1000,124,0.5,100,100,1000,142,0.5,100,100,1000,51,0.5,100,100,1000,18,0.56,177,137,1104,98,0.5,100,100,1000,78,0.5,100,100,1000
48,0.5,100,100,1000,35,0.5,100,100,1000,60,0.5,100,100,1000,39,0.5,100,100,1000,66,0.5,100,100,1000,8,0.58,127,93,1034,9,0.5,100,100,1000,150,0.5,100,100,1000,130,0.5,100,100,1000,72,0.5,100,100,1000
103,0.5,100,100,1000,61,0.5,100,100,1000,76,0.5,100,100,1000,62,0.53,297,266,1053,154,0.5,100,100,1000,145,0.5,100,100,1000,53,0.5,100,100,1000,51,0.5,100,100,1000,15,0.54,333,280,1367,5,0.5,100,100,1000
97,0.5,100,100,1000,1,0.5,100,100,1000,41,0.5,100,100,1000,24,0.5,100,100,1000,158,0.5,100,100,1000,131,0.57,178,137,1215,111,0.5,100,100,1000,56,0.5,100,100,1000,110,0.5,100,100,1000,84,0.5,100,100,1000
105,0.56,211,167,1234,94,0.57,239,179,1522,24,0.54,250,213,1320,157,0.55,150,122,1028,96,0.5,100,100,1000,66,0.55,211,171,1207,138,0.59,139,97,1092,51,0.57,277,209,1373,55,0.54,333,280,1367,15,0.54,244,211,1080
52,0.54,261,224,1008,37,0.5,100,100,1000,93,0.57,214,162,1514,106,0.51,437,413,1074,126,0.5,100,100,1000,131,0.54,372,317,1471,150,0.54,197,170,1006,151,0.5,100,100,1000,84,0.5,100,100,1000,98,0.54,262,225,1118
74,0.5,100,100,1000,106,0.5,100,100,1000,39,0.5,100,100,1000,88,0.5,100,100,1000,3,0.5,100,100,1000,153,0.5,100,100,1000,159,0.5,100,100,1000,87,0.5,100,100,1000,110,0.5,100,100,1000,123,0.54,285,240,1355
23,0.5,100,100,1000,94,0.5,100,100,1000,24,0.5,100,100,1000,60,0.5,100,100,1000,127,0.5,100,100,1000,75,0.5,100,100,1000,131,0.5,100,100,1000,150,0.5,100,100,1000,120,0.5,100,100,1000,98,0.54,172,146,1004
103,0.56,312,245,1558,105,0.58,110,80,1066,69,0.54,250,213,1320,136,0.5,100,100,1000,158,0.5,100,100,1000,12,0.54,325,274,1299,150,0.56,177,137,1104,50,0.53,351,308,1225,13,0.56,138,109,1132,110,0.5,100,100,1000
154,0.5,100,100,1000,48,0.56,183,144,1223,136,0.5,100,100,1000,47,0.5,100,100,1000,44,0.5,100,100,1000,49,0.5,100,100,1000,159,0.5,100,100,1000,56,0.5,100,100,1000,98,0.5,100,100,1000,101,0.5,100,100,1000
117,0.62,154,96,1009,40,0.58,205,149,1335,136,0.5,100,100,1000,63,0.5,100,100,1000,127,0.5,100,100,1000,145,0.5,100,100,1000,26,0.5,100,100,1000,150,0.5,100,100,1000,13,0.5,100,100,1000,95,0.5,100,100,1000
