TeamBlueTopGoldEarned,TeamBlueTopChampionName,TeamBlueTopDamageDealt,TeamBlueTopWins,TeamBlueTopLosses,TeamBlueTopLeaguePoints,TeamRedTopGoldEarned,TeamRedTopChampionName,TeamRedTopDamageDealt,TeamRedTopWins,TeamRedTopLosses,TeamRedTopLeaguePoints,TeamBlueJungleGoldEarned,TeamBlueJungleChampionName,TeamBlueJungleDamageDealt,TeamBlueJungleWins,TeamBlueJungleLosses,TeamBlueJungleLeaguePoints,TeamRedJungleGoldEarned,TeamRedJungleChampionName,TeamRedJungleDamageDealt,TeamRedJungleWins,TeamRedJungleLosses,TeamRedJungleLeaguePoints,TeamBlueMidGoldEarned,TeamBlueMidChampionName,TeamBlueMidDamageDealt,TeamBlueMidWins,TeamBlueMidLosses,TeamBlueMidLeaguePoints,TeamRedMidGoldEarned,TeamRedMidChampionName,TeamRedMidDamageDealt,TeamRedMidWins,TeamRedMidLosses,TeamRedMidLeaguePoints,TeamBlueADCGoldEarned,TeamBlueADCChampionName,TeamBlueADCDamageDealt,TeamBlueADCWins,TeamBlueADCLosses,TeamBlueADCLeaguePoints,TeamRedADCGoldEarned,TeamRedADCChampionName,TeamRedADCDamageDealt,TeamRedADCWins,TeamRedADCLosses,TeamRedADCLeaguePoints,TeamBlueSupportGoldEarned,TeamBlueSupportChampionName,TeamBlueSupportDamageDealt,TeamBlueSupportWins,TeamBlueSupportLosses,TeamBlueSupportLeaguePoints,TeamRedSupportGoldEarned,TeamRedSupportChampionName,TeamRedSupportDamageDealt,TeamRedSupportWins,TeamRedSupportLosses,TeamRedSupportLeaguePoints,win
10857,36,13005,100,100,1000,9705,90,15928,100,100,1000,19086,127,32696,93,49,1309,9228,29,13263,442,397,1193,12201,20,18864,100,100,1000,16319,49,39596,100,100,1000,12007,51,18480,100,100,1000,11663,56,32321,100,100,1000,9284,13,10062,119,89,982,6653,84,5849,100,100,1000,1
8370,32,12883,110,69,1145,10625,94,18465,239,179,1522,11469,104,19163,434,379,1542,11175,123,20656,175,137,1330,8650,142,12005,276,241,1102,10935,158,19451,100,100,1000,9286,150,16301,349,314,1194,12148,53,21108,258,203,1480,6358,98,4797,333,280,1367,7089,84,6830,153,123,1013,0
7713,92,10308,100,100,1000,10840,43,19462,100,100,1000,7907,67,8631,400,364,1111,9934,76,11326,100,100,1000,9707,3,12031,100,100,1000,8795,96,12461,100,100,1000,7364,150,11423,100,100,1000,12391,51,15816,163,124,1141,5300,78,2652,100,100,1000,7969,110,11227,100,100,1000,0
8796,93,20176,100,100,1000,11789,117,18221,131,80,1198,9615,41,13858,434,379,1542,12891,67,15429,457,399,1561,9247,27,10675,200,131,1151,12445,38,18990,253,214,1010,11360,159,12283,296,241,1195,13116,150,20313,445,371,1847,6050,8,9742,165,127,1079,7206,84,6232,100,100,1000,0
11815,74,21026,205,171,1021,12651,48,18614,116,74,1225,12113,86,20401,100,100,1000,12672,113,15954,120,63,1013,11024,154,16180,258,203,1480,11303,160,23759,233,186,1219,11280,135,19555,456,414,1107,14378,9,30764,231,177,1670,6130,98,5871,353,296,1258,8823,125,9853,100,100,1000,0
10949,48,16967,134,70,1437,7950,74,14142,116,74,1225,13573,86,27782,100,100,1000,8909,144,8755,117,72,1006,12074,49,16125,100,100,1000,10459,11,18410,100,100,1000,14613,26,19628,100,100,1000,10671,51,17432,100,100,1000,7345,84,5429,203,172,1100,6403,130,6569,100,100,1000,1
7808,49,13524,100,100,1000,11826,52,18579,227,207,955,11276,144,16064,100,100,1000,9819,67,15516,100,100,1000,9785,18,12313,100,100,1000,7549,2,9618,100,100,1000,13617,53,29275,100,100,1000,9696,51,9948,100,100,1000,7852,81,10111,100,100,1000,5964,78,3247,100,100,1000,1
14801,49,32167,179,118,1239,15779,48,27747,100,100,1000,13133,63,23276,270,234,1229,16036,144,26721,303,279,1018,11253,2,23696,231,184,1377,12099,70,18853,100,100,1000,14573,159,27075,222,197,1107,13502,10,18462,445,371,1847,8460,98,8063,261,221,1017,10096,8,12294,186,111,1702,0
8342,48,13264,134,70,1437,8588,93,12589,100,100,1000,8817,76,13167,100,100,1000,7850,67,8660,315,272,1178,10509,44,19451,100,100,1000,8124,3,13061,100,100,1000,9469,51,11123,100,100,1000,9122,9,15947,296,241,1195,6942,95,7544,121,82,1115,5790,130,7087,100,100,1000,1
7241,19,11435,100,100,1000,10417,61,25898,167,119,1099,10661,143,12293,100,100,1000,14875,144,29805,250,213,1320,8559,21,20054,100,100,1000,15613,127,32630,100,100,1000,12700,53,19062,100,100,1000,10866,108,18476,100,100,1000,7482,112,12541,100,100,1000,7243,15,9296,100,100,1000,0
